tag,count,percentage,importance_score
div,11228,25.673389125165773,100.0
a,11102,25.38528376091828,98.87780548628429
li,7737,17.69104129510221,68.90808692554329
span,5554,12.69950153198884,49.465621660135376
p,1906,4.358165271870855,16.975418596366225
ul,1384,3.164585905702657,12.326327039543997
td,866,1.9801527415740614,7.712860705379408
h3,846,1.9344217313760463,7.534734592091201
h2,618,1.413088215118672,5.504096900605629
strong,440,1.006082224356336,3.918774492340577
tr,375,0.8574564412127864,3.339864624153901
h4,292,0.667672748891023,2.6006412540078374
button,197,0.45045045045045046,1.7545422158888495
h1,132,0.30182466730690083,1.1756323477021733
b,129,0.2949650157771985,1.148913430708942
form,121,0.2766726116979924,1.0776629853936588
i,121,0.2766726116979924,1.0776629853936588
nav,120,0.27438606118809167,1.0687566797292483
table,113,0.2583802076187863,1.0064125400783754
section,107,0.24466090455938172,0.952974706091913
header,68,0.15548543467325193,0.6056287851799074
footer,47,0.10746787396533589,0.4185963662272889
th,42,0.09603512141583208,0.3740648379052369
article,39,0.08917546988612979,0.3473459209120057
em,37,0.08460236886632826,0.3295333095831849
aside,26,0.05945031325741986,0.23156394727467047
main,24,0.05487721223761833,0.21375133594584966
ol,23,0.05259066172771757,0.20484503028143927
h5,17,0.03887135866831298,0.15140719629497684
h6,14,0.03201170713861069,0.12468827930174563
blockquote,9,0.020578954589106874,0.08015675097969362
