Dataset,HTML Tag,Occurrences,Percentage,Importance Score
german_dataset,title,0,0.0,0.0
german_dataset,h1,0,0.0,0.0
german_dataset,h2,0,0.0,0.0
german_dataset,h3,0,0.0,0.0
german_dataset,p,0,0.0,0.0
german_dataset,a,0,0.0,0.0
german_dataset,li,0,0.0,0.0
german_dataset,span,0,0.0,0.0
german_dataset,strong,0,0.0,0.0
german_dataset,em,0,0.0,0.0
indianexpress,title,0,0.0,0.0
indianexpress,h1,0,0.0,0.0
indianexpress,h2,0,0.0,0.0
indianexpress,h3,0,0.0,0.0
indianexpress,p,0,0.0,0.0
indianexpress,a,0,0.0,0.0
indianexpress,li,0,0.0,0.0
indianexpress,span,0,0.0,0.0
indianexpress,strong,0,0.0,0.0
indianexpress,em,0,0.0,0.0
kaksplus,title,0,0.0,0.0
kaksplus,h1,0,0.0,0.0
kaksplus,h2,0,0.0,0.0
kaksplus,h3,0,0.0,0.0
kaksplus,p,0,0.0,0.0
kaksplus,a,0,0.0,0.0
kaksplus,li,0,0.0,0.0
kaksplus,span,0,0.0,0.0
kaksplus,strong,0,0.0,0.0
kaksplus,em,0,0.0,0.0
macworld,title,0,0.0,0.0
macworld,h1,0,0.0,0.0
macworld,h2,0,0.0,0.0
macworld,h3,0,0.0,0.0
macworld,p,0,0.0,0.0
macworld,a,0,0.0,0.0
macworld,li,0,0.0,0.0
macworld,span,0,0.0,0.0
macworld,strong,0,0.0,0.0
macworld,em,0,0.0,0.0
member3_outputs,title,0,0.0,0.0
member3_outputs,h1,0,0.0,0.0
member3_outputs,h2,0,0.0,0.0
member3_outputs,h3,0,0.0,0.0
member3_outputs,p,0,0.0,0.0
member3_outputs,a,0,0.0,0.0
member3_outputs,li,0,0.0,0.0
member3_outputs,span,0,0.0,0.0
member3_outputs,strong,0,0.0,0.0
member3_outputs,em,0,0.0,0.0
uusisuomi,title,0,0.0,0.0
uusisuomi,h1,0,0.0,0.0
uusisuomi,h2,0,0.0,0.0
uusisuomi,h3,0,0.0,0.0
uusisuomi,p,0,0.0,0.0
uusisuomi,a,0,0.0,0.0
uusisuomi,li,0,0.0,0.0
uusisuomi,span,0,0.0,0.0
uusisuomi,strong,0,0.0,0.0
uusisuomi,em,0,0.0,0.0
